Product,Price,Sold,Ratings,Reviews
"Kindle Scribe Basic Pen Bundle Includes Kindle Scribe (16 GB) Basic Pen & Made for Amazon Clear Case",$364.98 ,1,5,0
"Kindle Scribe Basic Pen Bundle Includes Kindle Scribe (64 GB) Premium Pen & Made for Amazon Clear Case",$444.98 ,3,4.6,1
"Kindle Scribe Bundle Includes Kindle Scribe (64 GB) Premium Pen and NuPro Bookcover in Black",$464.98 ,3,4.4,2
Kobo Clara 2E | eReader | Glare-Free 6 HD Touchscreen | ComfortLight PRO Blue Light Reduction | Adjustable Brightness | WiFi | 16GB of Storage | Carta E Ink Technology | Waterproof,$138.70 ,1092,4.5,1024
Kobo Elipsa 2E | eReader | 10.3 Glare-Free Touchscreen with ComfortLight PRO | Includes Kobo Stylus 2 | Adjustable Brightness | Wi-Fi | Carta E Ink Technology | 32GB of Storage,$379.99 ,52,4,28
"PocketBook Era E-Reader, Stardust Silver 16GB | 7 Glare-Free & Eye-Friendly Touch-Screen with E -Ink Technology | Waterproof | Text-to-Speech Audio- & E-Book Reader | SMARTlight & Built-in Speaker",$258.38 ,41,4.1,17
Kobo Libra 2 | eReader | 7 Glare Free Touchscreen | Waterproof | Adjustable Brightness and Color Temperature | Blue Light Reduction | eBooks | WiFi | 32GB of Storage | Carta E Ink Technology | Black,$159.99 ,3230,4.4,1048
"PocketBook Era E-Reader Sunset Copper 64GB | 7 Glare-Free & Eye-Friendly Touch-Screen with E -Ink Technology | Waterproof | Text-to-Speech, Audio- & E-Book Reader | SMARTlight & Built-in Speaker",$290.94 ,17,3.9,9
"Kindle Scribe Bundle Includes Kindle Scribe (32 GB), Premium Pen, and NuPro Bookcover in Black",$434.98 ,0,0,0
Kobo Clara HD | eReader | 6 Glare Free Touchscreen | Adjustable Brightness & Colour Temperature | WiFi | 8GB of Storage | Carta E Ink Technology (Clara HD),$115.95 ,6298,4.3,1768
Soviet Attack Submarines Cold War Operations and Accidents,$0.99 ,,3.6,8
Brunhilde: Redemption An Epic Adventure Fantasy Paperback,$7.99 ,1,5,
Northmen Saga: Black Stone of Vallanir: An Action & Adventure Epic Fantasy Novel,,20,3.6,2
"Kindle Paperwhite Essentials Bundle including Kindle Paperwhite (16 GB) - Black - Without Lockscreen Ads, Leather Cover - Agave Green and Power Adapter",$211.97 ,3,4.6,0
"Kindle Scribe Essentials Bundle including Kindle Scribe (64 GB) Premium Pen Brush Print Leather Folio Cover with Magnetic Attach - Foliage Green and Power Adapter",$390.07 ,44,4.6,9
Northmen Saga: Black Stone of Vallanir: An Action & Adventure Epic Fantasy Novel,$2.99 ,20,3.6,2
"Kindle Scribe Bundle Includes Kindle Scribe (32 GB), Premium Pen, and NuPro Bookcover in Black",$434.98 ,0,0,0
